order_id,order_date,order_customer,item_category,item_vendor,order_item,order_price,order_qty,delivery_date,delivery_address
PO-0018,2021-05-21,Sarah Johnson,連接器,Credo,Raptor 100 DSP,260.40000000000003,2286,2022-03-14,"97889 Reynolds Heights
Lake Blakeside, WI 08357"
PO-0019,2021-07-23,Matthew Le,嵌入式模組,poLight,TLens Silver,240.45000000000002,1118,2022-05-07,"633 William Vista Suite 039
Michaeltown, MN 11180"
PO-0020,2022-02-03,Stacey Campbell,非光學傳感器,TDK InvenSense,IAM-20680,207.9,2515,2022-06-09,"71834 Nelson Forest
New Tiffanyfort, VT 21841"
PO-0021,2022-05-03,Elizabeth Daniels,積體電路-IC,Skyworks,Si538x,33.6,2411,2022-05-22,"PSC 7473, Box 3559
APO AE 65033"
PO-0022,2021-09-05,James Cortez,非光學傳感器,ams OSRAM,TMF8801,86.10000000000001,2381,2022-03-17,"332 Lori Lakes Suite 869
Port Blake, NV 30565"
PO-0023,2021-07-21,Charlene Daniels,軟體類,Cyberlink,000,52.5,2879,2022-03-31,"PSC 8475, Box 8954
APO AE 60510"
PO-0024,2021-05-02,Amanda Hughes,測試及測量,Rohde & Schwarz,HMC8012 Digital Multimeter,181.65,2011,2021-12-16,"34093 Boyd Pass
South Jennifer, MO 75249"
PO-0025,2022-04-17,Joseph Perez,非光學傳感器,Superior Sensor Technology,ND210 / ND110 / ND120 / ND130 / ND005D,150.15,2240,2022-05-02,"968 Allen Island
Amberton, MA 05563"
PO-0026,2022-04-28,Crystal Middleton,積體電路-IC,Boréas Technologies,BOS1901,249.9,2954,2022-05-09,"38831 Irwin Alley
New Elizabeth, CA 97730"
PO-0027,2022-01-28,Christopher Burke,類比-IC,STMicroelectronics,BlueNRG-1,142.8,1959,2022-04-19,"27942 Wood Route Apt. 311
West John, MT 71119"
PO-0028,2021-08-06,Stephanie Richard,類比-IC,Power Integrations,INN3977CQ/INN3996CQ/INN3947CQ/INN3949CQ,189.0,1090,2022-03-08,"675 Robert Pass
Barnesburgh, NM 27551"
PO-0029,2022-02-13,Kimberly Mueller,嵌入式模組,ELATEC,TWN4 Family (HF and LF),54.6,2117,2022-06-26,"80956 Deborah Mill
West Aaronbury, CO 78498"
PO-0030,2021-11-22,Michael Woods,類比-IC,STMicroelectronics,LD39130S,288.75,2132,2022-05-11,"222 Joseph Cliff
Michaelport, AK 95917"
PO-0031,2022-01-12,Tracy Thompson,光電產品,ams OSRAM,TCS3430,100.80000000000001,2952,2022-04-09,"138 Bennett Lights
East Amy, MI 33245"
PO-0032,2022-04-18,Sarah Jackson,類比-IC,Torex Semiconductor,XC6133,267.75,1277,2022-05-13,"6956 Hawkins Fords Suite 706
South Judith, FL 73402"
PO-0033,2021-09-09,Holly Newton,類比-IC,Torex Semiconductor,XC6133,267.75,2649,2022-05-02,"1233 Mark Rapids
Port Judith, NM 83471"
PO-0034,2022-01-01,Travis Stanton,嵌入式模組,Summit Wireless,LG Innotek (LGIT) WiSA Wireless Audio Tx Dongle,19.95,2086,2022-01-12,"912 Acosta Courts
North Natashashire, ND 52521"
PO-0035,2021-11-23,Joshua Lee,非光學傳感器,TDK InvenSense,ICM20602,14.700000000000001,1398,2022-02-07,"43984 Ryan Throughway Suite 956
South Angelatown, MT 78699"
PO-0036,2021-04-19,Brian Wu,測試及測量,Silanna,SZ1110,87.15,2738,2022-02-20,"80979 Nicholas Ville
North Sarahside, ME 81133"
PO-0037,2021-04-13,Patricia Castillo,類比-IC,Torex Semiconductor,XC9281 / XC9282,13.65,2418,2021-07-31,"142 Beasley Court Apt. 533
East Bethfurt, TN 54454"
PO-0038,2021-10-19,Angel Spence,離散式元件,Orientalsemi,OSG65R099JF,286.65000000000003,1761,2022-04-07,"USCGC Guerra
FPO AE 28193"
PO-0039,2021-10-16,Kristen Lee,微型組件,Synaptics,CX20921,36.75,2571,2022-06-20,"730 Joe Ridges Apt. 132
Cameronstad, NJ 37956"
PO-0040,2021-08-15,Melissa Massey,微型組件,STMicroelectronics,STA1095,14.700000000000001,2974,2021-10-21,"100 Kaitlin Courts Suite 482
North Amyburgh, VA 60598"
PO-0041,2022-05-20,Heather Collins,測試及測量,Rohde & Schwarz,RTB2000,147.0,1356,2022-06-01,"3642 Garner Skyway Apt. 469
Kimberlyview, MO 19887"
PO-0042,2021-10-03,Eric Jones,嵌入式模組,Silicon Labs,EFR32ZG,286.65000000000003,2510,2022-06-21,"27338 Chambers Trail Suite 506
Port Mary, DC 53460"
PO-0043,2021-07-30,Mary Collins,光電產品,LUXSHARE ICT,"SFP,QSFP,OSFP",236.25,1167,2022-06-18,"1510 Adrian Mills
Lake Jacobchester, UT 10765"
PO-0044,2021-06-29,Michael Morris,嵌入式模組,Hannstar,HSD050GDW1-B00-P,50.400000000000006,1692,2022-01-18,"4699 Craig Fall Apt. 413
Sarahmouth, NJ 96411"
PO-0045,2021-12-04,Jamie Blevins,類比-IC,Torex Semiconductor,XC9281 / XC9282,13.65,1590,2022-02-11,"5927 Morse Way
Kirkview, IN 38449"
PO-0046,2021-04-09,Patrick Mccullough,類比-IC,AXElite,AX3701,310.8,1145,2021-11-07,"7892 Daniel Trail Apt. 722
North Robert, MO 98321"
PO-0047,2021-07-03,Leslie Lee,微型組件,Silicon Labs,EFM8BB5,53.550000000000004,1972,2021-11-05,"USCGC Best
FPO AE 81017"
PO-0048,2021-10-12,Andrew Hughes,離散式元件,KEC,2N3904,257.25,2259,2022-05-08,"096 Robert Rapid Apt. 384
South Tina, VA 99350"
PO-0049,2022-02-17,Joyce Holland,非光學傳感器,STMicroelectronics,LIS2MDL,240.45000000000002,2425,2022-02-20,"9061 David Ville
Wallaceburgh, SD 44806"
PO-0050,2021-07-30,Jeremy Bell,微型組件,Synaptics,"CX22721, CX20921, CX20924",119.7,1965,2022-02-25,"79028 Kristin Village Apt. 714
Parkerstad, MI 27294"
PO-0051,2021-09-22,David Alvarez,非光學傳感器,ams OSRAM,AS7038RB,97.65,1195,2022-03-19,"65266 Vincent Shoal
Castillohaven, MS 21471"
PO-0052,2021-10-09,Allison Hicks,類比-IC,Marvell,88E2010,18.900000000000002,2417,2022-01-02,"1596 Douglas Circles
Mannland, WV 59367"
PO-0053,2022-03-09,Rebecca Gonzalez,測試及測量,Rohde & Schwarz,ZND Vector Network Analyzers,136.5,1403,2022-05-27,"377 Christine Plains Suite 205
Sonyaberg, SC 87509"
PO-0054,2021-10-26,Whitney Roberts,類比-IC,MinebeaMitsumi,PST8xxx,295.05,2267,2022-01-04,"90216 Conway Plain Apt. 364
South Robert, CA 72483"
PO-0055,2021-12-02,James Gilbert,非光學傳感器,ams OSRAM,AS7026,102.9,1958,2022-01-18,"0622 Terry Crest Suite 956
Jessicaborough, HI 01615"
PO-0056,2022-05-16,Jacob Benjamin,光電產品,Sony Semiconductor,"ISX019, IMX290, IMX224, IMX390, IMX490",292.95,1804,2022-06-07,"74655 Christine Turnpike
Port Kathleen, MO 13235"
PO-0057,2021-04-01,James Reed,非光學傳感器,ams OSRAM,TMF8701,51.45,2210,2022-01-20,"77402 Lindsey Roads
Kirbyberg, SC 22545"
PO-0058,2021-11-12,Adam Morgan,測試及測量,Rohde & Schwarz,HMC8012 Digital Multimeter,181.65,2079,2022-04-02,"5892 Rivera Turnpike Apt. 944
South Jesusview, FL 06481"
PO-0059,2021-04-28,Rebecca Little,非光學傳感器,Silicon Labs,CPT112S,304.5,1494,2021-06-14,"9561 Dana Ramp
West Paulland, ID 36387"
PO-0060,2021-09-21,William Klein,連接器,Credo,Bald Eagle Retimer,163.8,1873,2022-01-04,"PSC 6253, Box 1201
APO AP 22445"
PO-0061,2021-08-16,Luis Wall,記憶體,GigaDevice,GD5Fxx,141.75,2078,2021-11-24,"307 Wanda Alley Suite 463
New Patrickshire, IN 40370"
PO-0062,2022-05-22,Kelly Stephens,機電產品,TDK InvenSense,T3903,96.60000000000001,2505,2022-06-21,"577 Hall Fall Suite 853
South Angelabury, AK 43531"
PO-0063,2022-05-18,Joshua Farrell,離散式元件,KEC,KMA2D4P20SA,227.85000000000002,1731,2022-06-24,"PSC 2480, Box 3386
APO AE 03222"
PO-0064,2022-03-15,Eric Pearson,非光學傳感器,STMicroelectronics,LIS2MDL,240.45000000000002,2859,2022-05-23,"180 Haney Rue
Christophermouth, LA 75953"
PO-0065,2021-04-28,Misty Sanchez MD,微型組件,Synaptics,"CX22721, CX20921, CX20924",119.7,2728,2021-12-22,"822 Rivera Harbors
New Jill, NC 67760"
PO-0066,2021-07-11,Craig Kelley,軟體類,Cyberlink,000,52.5,2798,2022-03-01,"3277 Mark Station Apt. 813
New Frankfurt, WY 88492"
PO-0067,2022-01-11,Eric Ellison,測試及測量,Rohde & Schwarz,RTH Scope Rider,45.15,1934,2022-06-12,"46150 Hanson Road Apt. 013
South Eugenestad, CO 79816"
PO-0068,2022-01-27,Melissa Fisher,類比-IC,STMicroelectronics,Automotive Analog and Power,259.35,2195,2022-06-27,"4063 Padilla Mission Suite 471
Kevinbury, WY 93891"
PO-0069,2022-02-26,Sarah Day,非光學傳感器,TDK InvenSense,ICM20602,14.700000000000001,2565,2022-03-19,"273 Joseph Harbor
East Willie, WA 97429"
PO-0070,2022-05-16,Karen Martin,非光學傳感器,Superior Sensor Technology,HV160 / HV120 / HV110 / HV210,109.2,2231,2022-05-22,"55771 Heidi Corners Apt. 557
Lake Robertville, NY 20236"
PO-0071,2022-03-07,Edwin Williams,類比-IC,Celeno,CL8046,74.55,1331,2022-06-14,"721 Hess Terrace
Derekland, AZ 76729"
PO-0072,2021-11-19,Tyler Lindsey,測試及測量,Rohde & Schwarz,QAR-K,110.25,1349,2021-12-29,"2672 Roberts Lake Apt. 248
Clementsbury, SC 59585"
PO-0073,2022-03-02,Christopher Bowman,類比-IC,Monolithic Power Systems,MP26124,156.45000000000002,2559,2022-06-10,"USCGC Spears
FPO AE 25913"
PO-0074,2021-06-23,Mark Thompson,類比-IC,STMicroelectronics,STSPIN240,91.35000000000001,2926,2021-08-10,"Unit 0280 Box 0504
DPO AA 93771"
PO-0075,2021-08-17,Kimberly Escobar,類比-IC,Torex Semiconductor,XC9143 / XC9144,78.75,2281,2021-11-17,"89020 Adam Vista Apt. 104
Port Lauraburgh, AK 95373"
PO-0076,2021-04-26,Mark Hamilton,嵌入式模組,Hannstar,HSD050GDW1-B00-P,50.400000000000006,2483,2022-03-14,"1578 Hayden Plains Suite 411
New Devin, MA 69935"
PO-0077,2021-06-14,Jessica Hernandez,非光學傳感器,STMicroelectronics,LSM6DSR,239.4,2421,2022-01-01,"67612 Shane Brooks
South Allisonburgh, WA 76671"
PO-0078,2021-04-10,Lori Glenn,離散式元件,ROHM,CDZCV6.8B,165.9,2574,2022-05-31,"9577 William Plains Suite 538
South Jesus, NJ 36490"
PO-0079,2022-03-31,Joe Sanders,離散式元件,ROHM,"SCTXXXX series, SCHXXXX series",238.35000000000002,1606,2022-05-02,"63446 Smith Bypass
Lake Jonathanchester, FL 53174"
PO-0080,2021-05-22,Mary Johnson,類比-IC,ROHM,BUxxSA5WGWZ,97.65,1717,2021-09-30,"968 Marquez Vista Suite 612
Jordanport, NY 93960"
PO-0081,2021-07-15,Angela Maynard,離散式元件,KEC,2N3904,257.25,2774,2021-09-09,"1259 Megan Port Suite 256
East Andrew, WV 11473"
PO-0082,2022-02-25,Shaun Hawkins,電池,GP,CR123A,238.35000000000002,1167,2022-05-28,"914 Long Valley
Kimberlyville, PA 33471"
PO-0083,2022-02-19,Margaret Hughes,類比-IC,Torex Semiconductor,XC9281 / XC9282,13.65,1958,2022-04-14,"951 Brittany Rapids Apt. 512
New Brian, KS 90495"
PO-0084,2021-05-28,Alexis Maddox,微型組件,Sony Semiconductor,CXD3781,59.85,2117,2022-01-16,"4058 Johnson Walk Suite 258
Howellborough, ND 91818"
PO-0085,2021-09-08,Amy Thomas,微型組件,FocalTech,Smart Phone Application,114.45,1255,2022-04-06,"8571 James Creek Suite 680
Rodriguezmouth, MA 68720"
PO-0086,2021-12-07,Brooke Shaw,軟體類,Cyberlink,000,52.5,1966,2022-01-31,"42700 Barnes Shoals Apt. 273
East Cristian, DC 81303"
PO-0087,2021-12-14,Dr. Larry Schultz,機電產品,TDK InvenSense,ICS‐41350,55.650000000000006,2702,2022-06-14,"3142 Williams Plains
Lake Brianside, WY 21582"
PO-0088,2021-05-10,Brianna Stone,嵌入式模組,Taoglas,EDGE,107.10000000000001,1979,2021-10-30,"9829 Jennifer Canyon
Port Jillianshire, MI 45861"
PO-0089,2021-06-22,Jane Winters DDS,光電產品,Sony Semiconductor,ISX019,63.0,1093,2022-02-24,"USNS Clark
FPO AA 13917"
PO-0090,2021-08-06,Ellen Johnston,軟體類,Cyberlink,000,52.5,1086,2022-01-08,"82197 Fuller Valleys Suite 463
Campbellfort, WI 60133"
PO-0091,2021-04-17,Laura Rice,嵌入式模組,Summit Wireless,Summit SWS997SD Rx Module,308.7,1701,2021-10-29,"Unit 4576 Box 7371
DPO AA 09787"
PO-0092,2022-04-20,Andrew Miller,嵌入式模組,Thales,ELS31,180.6,2819,2022-06-30,"5051 Fernandez Walks
Phillipschester, UT 40543"
PO-0093,2022-01-22,Jose Spence,類比-IC,ROHM,BU18TD3WG,123.9,1201,2022-02-17,"90610 Betty Rest
Lake Louisstad, NM 16149"
PO-0094,2021-04-13,Steven Frazier,積體電路-IC,MegaChips,STDP4300,55.650000000000006,1062,2021-06-11,"884 James Branch
West Christophershire, ND 38747"
PO-0095,2021-12-28,Leslie Miller DDS,光電產品,ams OSRAM,SFH 4725AS A01,76.65,1155,2022-01-31,"849 Amber Inlet
Robertfurt, TX 01458"
PO-0096,2021-10-17,Dawn Durham,嵌入式模組,Silicon Labs,RS9116N-SB00-B00,232.05,1424,2022-06-04,"2616 Mackenzie Expressway
North Jessicaton, WY 02956"
PO-0097,2021-06-08,Lisa Cortez,機電產品,TDK InvenSense,ICS‐41350,55.650000000000006,2975,2021-11-02,"377 Kelsey Road
New Ashleyborough, TN 43897"
PO-0098,2022-01-26,Linda Kennedy,非光學傳感器,TDK InvenSense,ICM20602,14.700000000000001,1666,2022-03-06,"32257 Jessica Port Suite 445
Port Michael, WY 06684"
PO-0099,2022-04-24,William Boyd,非光學傳感器,ams OSRAM,AS7038RB,97.65,2671,2022-04-29,"299 Warren Bypass Apt. 132
South Danielville, NY 95870"
PO-0100,2022-03-13,Shaun Anderson,測試及測量,Rohde & Schwarz,RTM3000,156.45000000000002,1897,2022-05-20,"1691 Perez Dam Suite 607
Lopeztown, WY 32564"
PO-0101,2021-04-11,Christopher Alexander,類比-IC,Monolithic Power Systems,MP3416,42.0,1198,2021-10-20,"72123 Meyers Walks Apt. 078
West Herbert, MT 32890"
PO-0102,2021-11-09,Richard Jenkins,非光學傳感器,ams OSRAM,TMF8801,86.10000000000001,2677,2022-06-18,"7835 Reynolds Path
Port Jeffreyville, MD 87068"
PO-0103,2021-07-05,Sean Rice,測試及測量,Rohde & Schwarz,RTO2000,249.9,2186,2021-07-09,"107 Angela Knolls Apt. 988
Danieltown, LA 85451"
PO-0104,2021-04-07,Bonnie Foster,非光學傳感器,Tangio,TPE-500/800/900,26.25,2710,2022-01-15,"PSC 0815, Box 3001
APO AE 05027"
PO-0105,2022-04-13,Dr. William Adams DDS,非光學傳感器,ams OSRAM,AS6200C,173.25,2547,2022-05-28,"037 Dorsey Points
North Anthony, ND 18312"
PO-0106,2021-08-07,Joshua Collins,類比-IC,Monolithic Power Systems,MP8110,252.0,1293,2022-06-21,"49644 Tammy Haven
East Veronicafort, LA 79637"
PO-0107,2022-02-26,Monica Sosa,非光學傳感器,STMicroelectronics,LIS2DH12,305.55,2299,2022-06-21,"56561 Holden Extension
Timothyside, NY 09713"
PO-0108,2021-10-08,Tony Kim,類比-IC,Marvell,88X93160,236.25,1270,2022-04-19,"919 Meagan Villages
New Kaylaview, IL 27807"
PO-0109,2021-12-10,Trevor Davis,離散式元件,UnitedSiC,UJ3D,250.95000000000002,2989,2022-03-14,"3389 Harper Prairie
Stephanietown, TX 50848"
PO-0110,2022-03-21,Sarah Moreno,測試及測量,Silanna,SZ1110,87.15,1396,2022-06-16,"883 Alexandra Divide Suite 220
East Lisahaven, TX 74336"
PO-0111,2021-05-30,Heather Simon,積體電路-IC,Boréas Technologies,BOS1901,249.9,1624,2021-09-13,"548 Barbara Mountains Apt. 875
Newtonchester, MO 69767"
PO-0112,2021-12-18,Patricia Duran,類比-IC,Injoinic,IP6505,282.45,1677,2022-05-27,"997 Lawson Forges Apt. 649
East Brandon, AK 38335"
PO-0113,2021-05-20,Matthew Rivera,測試及測量,Rohde & Schwarz,FPC1000,126.0,1552,2021-11-30,"26009 Mckinney Stravenue
South Nathanside, OH 34504"
PO-0114,2021-12-10,Kimberly Rowland,微型組件,Credo,CFD30201,190.05,1636,2021-12-23,"81933 Jason Center Suite 268
North Adamton, WV 52338"
PO-0115,2022-01-01,Chelsea Collins,非光學傳感器,ams OSRAM,TMD2635,306.6,2150,2022-02-22,"933 Wise Summit
South Brittany, NC 78143"
PO-0116,2021-08-25,Christopher Obrien,微型組件,Synaptics,CX31988,134.4,2868,2022-04-12,"679 Sosa Unions
Ianbury, NJ 03932"
PO-0117,2022-02-21,Destiny Gallegos,類比-IC,Injoinic,IP6505,282.45,2441,2022-06-25,"0817 Angela Drives
New Monica, DC 33483"
PO-0118,2022-03-29,Clifford Lee,測試及測量,Rohde & Schwarz,QAR-K,110.25,1722,2022-05-04,"90458 Ferguson Dam Apt. 694
North Sara, SD 38816"
PO-0119,2022-05-16,Daniel Smith,離散式元件,ROHM,VS3V3BA1FS,277.2,2969,2022-06-01,"3782 Martin Turnpike Apt. 239
Lake William, CA 01626"
PO-0120,2021-12-27,Shawn Adams,嵌入式模組,Hannstar,HSD050GDW1-B00-P,50.400000000000006,2570,2022-06-11,"498 Williams Land
West Anneberg, NY 81978"
PO-0121,2022-04-14,Martin Farley,嵌入式模組,USI,WM-N-BM-30,51.45,2771,2022-04-18,"8321 Nicholas Valley Suite 218
Mayfort, AK 81799"
PO-0122,2022-04-05,Emily Douglas,積體電路-IC,Skyworks,Si538x,33.6,1227,2022-05-30,"85181 Charlotte Rest
New Dorothystad, AZ 05059"
PO-0123,2022-03-06,Christopher Mason,離散式元件,KEC,2N3904,257.25,2375,2022-06-15,"49196 Thomas Field Suite 695
Jonathanton, WY 41430"
PO-0124,2022-05-22,Grace Watson,非光學傳感器,ams OSRAM,TMF8801,86.10000000000001,1074,2022-05-26,"7534 Jose Villages Apt. 860
South Michaelborough, DE 33317"
PO-0125,2022-02-17,Alexandria Hood,嵌入式模組,ROHM,BSMXXXX series,264.6,2377,2022-06-08,"20546 Alexander Course Apt. 892
East Sherriside, AR 10630"
PO-0126,2021-08-15,Patricia Burke,微型組件,Marvell,MARVELL 88F3720,106.05000000000001,2076,2022-04-05,"0094 Daniel Locks Suite 695
South Mollymouth, IL 55154"
PO-0127,2021-11-01,Christopher Webb,微型組件,Marvell,Marvell Avanta,269.85,2917,2022-05-24,"6974 Joseph Mountains
Johnsonborough, MA 76448"
PO-0128,2021-06-04,Eric Rodriguez,測試及測量,Rohde & Schwarz,RTM3000,156.45000000000002,1565,2022-04-18,"2846 Powell Heights
Ashleebury, OH 30243"
PO-0129,2021-10-15,Christopher Harvey,非光學傳感器,ams OSRAM,CCS811,241.5,2959,2022-03-24,"464 Jordan Lakes Suite 821
Lake Stacey, WY 41247"
PO-0130,2022-05-18,Theresa Jones,光電產品,ams OSRAM,SFH 4725AS A01,76.65,1859,2022-05-22,"91568 Huang Corner
Oliviahaven, NE 56551"
PO-0131,2021-09-11,Brandon Ramirez,微型組件,STMicroelectronics,STM32L476JG,221.55,2200,2022-04-17,"878 Griffin Shoals Suite 625
Lake Jimmy, DE 70774"
PO-0132,2021-11-17,Hannah Dunn,光電產品,ams OSRAM,Photodiode & Phototransistor,28.35,1328,2022-06-15,"15777 Jennifer Stream Suite 200
Lake Erikaside, MS 87722"
PO-0133,2021-07-16,Jeremy Mann,嵌入式模組,USI,WM-BN-BM26_A,18.900000000000002,2343,2022-01-24,"9512 Austin Plains Apt. 885
North Matthew, MN 62391"
PO-0134,2021-06-01,Lindsay Juarez,非光學傳感器,Silicon Labs,Si1143/44,204.75,2659,2021-10-21,"5524 Sparks Prairie Suite 109
South Cherylhaven, VT 85162"
PO-0135,2021-06-14,Joel Lewis,嵌入式模組,Summit Wireless,LG Innotek (LGIT) WiSA Wireless Audio Tx Dongle,19.95,2112,2021-07-10,"88143 Gwendolyn Hill
East Garrett, MT 46062"
PO-0136,2021-11-29,Laura Wright MD,積體電路-IC,MegaChips,STDP4300,55.650000000000006,2107,2022-06-04,"978 Daniel Lakes Suite 751
Lake Jessicafort, IN 49796"
PO-0137,2021-08-02,Jacob Nichols,類比-IC,Torex Semiconductor,XC9281 / XC9282,13.65,2666,2021-12-31,"5476 Calhoun Rapids Apt. 475
Jamesport, OK 90791"
PO-0138,2021-09-16,Elizabeth Roberts,類比-IC,Celeno,CL8040,30.450000000000003,2626,2022-03-07,"62411 Jeffrey Crossroad
Diazshire, HI 50447"
PO-0139,2021-10-17,Stephanie Chapman,嵌入式模組,Silicon Labs,Series 2 Proprietary Wireless 2.4 GHz SoC,300.3,1174,2022-03-18,"471 Nelson Turnpike
Port Christopherside, KS 88410"
PO-0140,2022-02-06,Sara Jackson,類比-IC,STMicroelectronics,ESDCAN03-2BWY,92.4,2902,2022-03-02,"55022 Kevin Vista
West Adam, MI 76452"
PO-0141,2021-09-11,Mary Romero,嵌入式模組,QuickLogic,EOS S3 EVB,254.10000000000002,2660,2022-03-06,"66441 Herring Extensions Apt. 574
North Bruce, MN 62115"
PO-0142,2021-09-01,Jeffrey Henry,光電產品,Sony Semiconductor,ISX019,63.0,2805,2022-04-08,"551 Lori Lodge Apt. 578
East Melindaborough, NH 16791"
PO-0143,2021-09-27,Michelle Holder,類比-IC,Silicon Labs,EFR32BG24,160.65,1763,2022-02-17,"39949 Clifford Crossing Suite 149
West Christinechester, NY 45956"
PO-0144,2021-09-14,Shirley Dickson,類比-IC,Torex Semiconductor,XCL series,124.95,1435,2021-11-14,"7018 Taylor Center Apt. 585
New Andre, NJ 72583"
PO-0145,2021-12-17,Michelle Harper,積體電路-IC,Astera Labs,"PT4161L, PT5161L",284.55,2144,2022-06-11,"87723 Kelly Parkways Suite 584
Smithland, SC 00638"
PO-0146,2021-07-03,Alfred Martin,非光學傳感器,ams OSRAM,AS7026,102.9,2559,2021-10-08,"698 Zachary Courts Suite 222
New Sarah, WY 27538"
PO-0147,2021-07-16,Lisa Sullivan,機電產品,TDK InvenSense,ICS‐41350,55.650000000000006,1833,2022-05-15,"8758 Donald Mount
Leechester, MO 07162"
PO-0148,2021-07-22,Stephen Roth MD,嵌入式模組,Silicon Labs,"Z-Wave 500, Z-Wave 700",177.45000000000002,1154,2022-01-03,"315 Jessica Crossroad Suite 870
Charlesport, MS 28029"
PO-0149,2022-05-17,Courtney Stanton,類比-IC,Injoinic,IP6806,271.95,2153,2022-06-15,"78160 Miller Roads Suite 655
East Micheal, CT 43031"
PO-0150,2022-01-11,Erica Mason,微型組件,Credo,CFD30201,190.05,1269,2022-04-08,"48236 Laurie Orchard Apt. 651
West Michaelmouth, TX 44393"
PO-0151,2022-02-08,Jason Winters,微型組件,STMicroelectronics,STA1295,87.15,2006,2022-03-01,"68325 Case Union
New Tara, ND 11427"
PO-0152,2021-06-16,Melissa Alvarez,類比-IC,AXElite,AX3701,310.8,1233,2022-04-28,"39961 Stephen Vista Apt. 192
Lopezport, MO 74882"
PO-0153,2021-09-20,Sarah Brooks,非光學傳感器,Sony Semiconductor,CXD5605,70.35000000000001,2308,2021-11-29,"98348 Mathis Meadow Apt. 514
Danachester, HI 21961"
PO-0154,2021-04-01,Wayne Johnson,類比-IC,Celeno,CL8040,30.450000000000003,2484,2021-11-02,"525 Graham Throughway Suite 220
South Christine, CO 83372"
PO-0155,2022-05-07,Bryan Thomas,非光學傳感器,Silicon Labs,CPT112S,304.5,1336,2022-05-12,"582 Bryant Cliffs
West Alfredville, MS 96734"
PO-0156,2022-02-27,Barbara Carey,微型組件,STMicroelectronics,STA1095,14.700000000000001,1157,2022-06-03,"440 Stephanie Walk
Port Erin, MA 44684"
PO-0157,2021-05-29,Aaron Martin,類比-IC,Celeno,CL8066,109.2,1608,2021-07-02,"0384 Kevin Stravenue
Lake Keith, TN 58366"
