order_id,order_date,order_customer,item_category,item_vendor,order_item,order_price,order_qty,delivery_date,delivery_address,stock
PO-0653,2022-01-06,Samuel Vega,離散式元件,KEC,2N3904,257.25,1172,2022-04-29,"076 Garner Oval
West Johnfort, AL 75241",-1066
PO-0048,2021-10-12,Andrew Hughes,離散式元件,KEC,2N3904,257.25,2259,2022-05-08,"096 Robert Rapid Apt. 384
South Tina, VA 99350",-3325
PO-0610,2022-02-24,Angela Johnson,離散式元件,KEC,2N3904,257.25,2440,2022-06-09,"0406 John Light Suite 734
South Philip, LA 53891",-5765
PO-1462,2022-04-04,Tony Harris,離散式元件,KEC,2N3904,257.25,2359,2022-06-11,"76887 Owen Forks Suite 856
Donnaborough, RI 73402",-8124
PO-0123,2022-03-06,Christopher Mason,離散式元件,KEC,2N3904,257.25,2375,2022-06-15,"49196 Thomas Field Suite 695
Jonathanton, WY 41430",-10499
PO-1583,2021-05-02,Kaitlyn Lowery,離散式元件,Littelfuse,437A Series,47.25,1755,2021-07-01,"102 Kennedy Loop Suite 116
Port Jamesland, UT 60875",-500
PO-1128,2021-05-21,Heather Marquez,離散式元件,Littelfuse,437A Series,47.25,1470,2021-08-21,"2414 Samantha Route Suite 348
East Bettyport, SC 88115",-1970
PO-0460,2021-12-06,Laura Taylor,離散式元件,Littelfuse,437A Series,47.25,1332,2022-01-02,"207 Kidd Club
Port Robinburgh, NV 83400",-3302
PO-0908,2021-12-21,Benjamin Burton,離散式元件,Littelfuse,437A Series,47.25,1114,2022-01-11,"133 Ellis Glen Suite 725
Port Patriciaborough, RI 77948",-4416
PO-0755,2022-02-18,Allen Harrington,離散式元件,Littelfuse,437A Series,47.25,2767,2022-03-03,"753 Warner Valley Suite 771
North Jeffreyhaven, NH 08068",-7183
PO-0274,2021-05-07,Sherri Cunningham,離散式元件,Littelfuse,437A Series,47.25,1577,2022-03-06,"05577 Robinson Heights Suite 234
East Benjamintown, WA 34825",-8760
PO-0318,2022-02-19,Kim White,離散式元件,Littelfuse,437A Series,47.25,2869,2022-04-08,"8569 Martin Forks Apt. 954
Port Kimberly, KY 85447",-11629
PO-1594,2021-07-10,Megan Larsen,離散式元件,Littelfuse,437A Series,47.25,2627,2022-04-11,"46993 Joy Islands Apt. 359
East Michaeltown, SD 18039",-14256
PO-1493,2022-03-11,Krista Spencer,離散式元件,Littelfuse,437A Series,47.25,1003,2022-05-02,"64718 Joshua Station Apt. 924
Lake Barbarashire, RI 90330",-15259
PO-1673,2021-09-02,Lynn Dominguez,離散式元件,Littelfuse,437A Series,47.25,2651,2022-05-15,"79026 Hale Camp Suite 913
Paultown, MI 79787",-17910
PO-1006,2021-12-16,Evelyn Nichols,類比-IC,Marvell,88E2010,18.9,2648,2022-02-05,"862 Gary Ferry
Guzmanside, TX 47570",-2411
PO-1394,2021-09-12,Jennifer Norton,類比-IC,Marvell,88E2010,18.9,1435,2022-03-15,"0633 Harper Ferry
Williamsview, PA 27442",-3846
PO-1016,2021-11-25,Lori Brown,類比-IC,Marvell,88E2010,18.9,2657,2022-04-11,"PSC 9273, Box 0479
APO AA 92633",-6503
PO-1090,2021-12-10,Thomas Burns,類比-IC,Marvell,88E2010,18.9,1639,2022-04-19,"49933 Kennedy Dam Suite 955
Donnachester, MI 00751",-8142
PO-0386,2022-02-25,James Bennett,類比-IC,Marvell,88E2010,18.9,2158,2022-06-27,"9528 James Lodge Apt. 048
Port Katherine, VT 75963",-10300
PO-0198,2021-12-03,Sherri Guzman,類比-IC,Marvell,98DX325x,168.0,1936,2022-04-16,"785 Cynthia Spurs
Sarahton, WV 73834",-1795
PO-0434,2021-11-26,Ms. Kimberly Bradley,類比-IC,Marvell,98DX325x,168.0,1817,2022-06-24,"6996 Williams Summit Suite 754
Port Garrett, MA 76835",-3612
PO-1871,2021-11-08,Daniel Briggs,積體電路-IC,Analogix,ANX7443,219.45,2832,2022-06-11,"678 James Pine
East Steven, NC 02148",-157
PO-1878,2021-06-03,Sarah Watson,積體電路-IC,Analogix,ANX7443,219.45,1056,2022-06-29,"24940 Jessica Station
Andreamouth, IL 25865",-1213
PO-1557,2022-04-27,Lorraine Pearson,積體電路-IC,Analogix,ANX7443,219.45,2398,2022-06-30,"PSC 0395, Box 9035
APO AP 11985",-3611
PO-0948,2021-06-10,John Small,離散式元件,Littelfuse,AQ1003-01ETG Series,16.8,1060,2021-07-07,"7027 Wilson Shore Apt. 894
New Laurenfort, FL 80207",-494
PO-1643,2021-09-11,Melody Wright,離散式元件,Littelfuse,AQ1003-01ETG Series,16.8,2243,2021-09-17,"38037 Kyle Burgs Suite 296
Karenstad, MA 15983",-2737
PO-1001,2021-10-22,Hunter Patterson,離散式元件,Littelfuse,AQ1003-01ETG Series,16.8,1091,2022-01-30,"01205 Matthew Inlet
Brooksborough, NH 33278",-3828
PO-0921,2022-01-30,Kristin Smith,離散式元件,Littelfuse,AQ1003-01ETG Series,16.8,1895,2022-05-15,"0922 Sanchez Meadow Suite 844
South Stephanie, WY 48787",-5723
PO-1074,2021-12-12,Denise Hall,離散式元件,Littelfuse,AQ1003-01ETG Series,16.8,2361,2022-06-07,"445 Santos Ridge Apt. 253
Port Thomas, MA 62364",-8084
PO-1024,2022-02-08,Kenneth Garcia,離散式元件,Littelfuse,AQ1003-01ETG Series,16.8,1523,2022-06-17,"46873 Aaron Lane Apt. 586
East Chadchester, MT 08481",-9607
PO-0055,2021-12-02,James Gilbert,非光學傳感器,ams OSRAM,AS7026,102.9,1958,2022-01-18,"0622 Terry Crest Suite 956
Jessicaborough, HI 01615",-736
PO-0753,2021-12-02,Michael Harris,非光學傳感器,ams OSRAM,AS7026,102.9,2869,2022-03-10,"1985 Monique Estates
West Julieside, TX 02212",-3605
PO-1137,2022-03-01,Justin Anthony DDS,非光學傳感器,ams OSRAM,AS7026,102.9,1003,2022-03-13,"0392 Norton Fall
New Timothy, IL 34182",-4608
PO-0790,2022-02-11,Nicole Lowe,非光學傳感器,ams OSRAM,AS7026,102.9,2524,2022-03-16,"221 Zachary Drives Apt. 569
Lake Larry, AL 24820",-7132
PO-1864,2022-03-15,Michelle Sanders,非光學傳感器,ams OSRAM,AS7026,102.9,2304,2022-03-22,"867 Christine Village Apt. 822
Castillohaven, WI 59841",-9436
PO-1738,2021-05-18,Tamara Juarez,非光學傳感器,ams OSRAM,AS7026,102.9,2336,2022-04-13,"062 Perez Hollow
North Meganbury, WI 06264",-11772
PO-0701,2021-05-05,Kimberly Sanchez,非光學傳感器,ams OSRAM,AS7026,102.9,1495,2022-04-20,"7254 Cook Villages
Michelleborough, WY 00672",-13267
PO-0232,2021-09-02,Ashley Olson,非光學傳感器,ams OSRAM,AS7026,102.9,2150,2022-05-03,"USS Smith
FPO AA 06500",-15417
PO-1823,2022-03-04,Larry Curry,非光學傳感器,ams OSRAM,AS7026,102.9,1198,2022-05-10,"250 Romero Point
Robinsonburgh, VA 01885",-16615
PO-1249,2022-03-13,Annette Weaver,非光學傳感器,ams OSRAM,AS7026,102.9,2835,2022-05-28,"07941 Jennifer Estate Suite 287
North Christina, AR 79336",-19450
PO-0593,2022-04-16,Donna Cox,非光學傳感器,ams OSRAM,AS7026,102.9,2371,2022-05-31,"9878 Powell Ramp
Miketown, CA 26707",-21821
PO-0704,2022-05-19,Denise Bell,非光學傳感器,ams OSRAM,AS7026,102.9,1286,2022-06-13,"683 Christopher Brooks Suite 243
New Victoriaview, ID 86229",-23107
PO-0573,2022-05-10,Victoria Ellis,非光學傳感器,ams OSRAM,AS7026,102.9,1578,2022-06-25,"92633 Carr Trace
New Carolynland, MS 08144",-24685
PO-1289,2021-11-05,Matthew Golden,非光學傳感器,ams OSRAM,AS7038RB,97.65,2952,2022-02-02,"7694 Johnson Fords Apt. 891
Brianland, SD 37598",-2732
PO-0051,2021-09-22,David Alvarez,非光學傳感器,ams OSRAM,AS7038RB,97.65,1195,2022-03-19,"65266 Vincent Shoal
Castillohaven, MS 21471",-3927
PO-0099,2022-04-24,William Boyd,非光學傳感器,ams OSRAM,AS7038RB,97.65,2671,2022-04-29,"299 Warren Bypass Apt. 132
South Danielville, NY 95870",-6598
PO-1760,2022-04-04,Timothy Parker,非光學傳感器,ams OSRAM,AS7038RB,97.65,2869,2022-06-18,"PSC 4144, Box 8637
APO AE 85406",-9467
PO-0667,2021-12-02,Mark Turner,類比-IC,AXElite,AX3701,310.8,1206,2022-01-31,"45723 Barry Lodge
Garzachester, KY 42401",-1073
PO-1010,2021-10-22,Eugene Baker,類比-IC,AXElite,AX3701,310.8,2634,2022-02-27,"1657 Daniel Crossing
Carterview, KY 20866",-3707
PO-1407,2021-05-08,Brandon Ortiz,類比-IC,AXElite,AX3701,310.8,1230,2022-02-27,"81413 Baxter Mall
Seanville, MI 62536",-4937
PO-0152,2021-06-16,Melissa Alvarez,類比-IC,AXElite,AX3701,310.8,1233,2022-04-28,"39961 Stephen Vista Apt. 192
Lopezport, MO 74882",-6170
PO-0199,2022-04-24,Jennifer Rivera,類比-IC,AXElite,AX3701,310.8,1898,2022-05-18,"Unit 3192 Box 0307
DPO AE 66626",-8068
PO-0627,2022-05-27,Joshua Fitzgerald,類比-IC,AXElite,AX3701,310.8,2106,2022-06-25,"387 Bowman Springs
Lake Christopherberg, NE 08775",-10174
PO-1062,2021-09-16,Larry Luna,離散式元件,Littelfuse,AXGD Series,213.15,2537,2022-06-02,"3291 Bennett Station Apt. 895
Youngstad, GA 78934",-770
PO-0068,2022-01-27,Melissa Fisher,類比-IC,STMicroelectronics,Automotive Analog and Power,259.35,2195,2022-06-27,"4063 Padilla Mission Suite 471
Kevinbury, WY 93891",-545
PO-0502,2022-05-26,Patricia Allen,類比-IC,STMicroelectronics,Automotive Analog and Power,259.35,2628,2022-07-01,"698 Rebecca Mountain Apt. 001
Michaelstad, WA 12714",-3173
PO-0414,2021-05-08,Tiffany Lopez,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,2995,2021-11-15,"7958 Misty Land Suite 859
North Christopher, CA 78574",-278
PO-1283,2021-10-07,Roger Edwards,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,1391,2021-12-24,"3026 Jason Flats
Lake Hayden, CO 67579",-1669
PO-1323,2021-04-29,Mark Ortiz,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,1305,2022-01-18,"914 Joseph Track
East Andrew, IA 39798",-2974
PO-1975,2022-04-13,Jacob Thompson,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,2803,2022-05-20,"4840 Williams Motorway
Joshuaborough, NM 46014",-5777
PO-0333,2022-04-25,Christy Gonzales,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,1572,2022-05-24,"142 Amy Spring Apt. 284
East Melissaview, HI 42922",-7349
PO-0841,2022-05-20,Catherine Berger,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,1819,2022-05-31,"6605 Anne Shoals Suite 238
Lake Kristin, WY 43271",-9168
PO-1653,2022-01-10,Angelica Owens,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,2259,2022-06-08,"USCGC Garcia
FPO AA 02726",-11427
PO-1593,2021-10-25,Justin Thompson,類比-IC,STMicroelectronics,BALF-NRG-01D3,118.65,2667,2022-06-11,"97736 Brown Locks
North Maxtown, IL 66598",-14094
PO-1904,2021-09-25,Kim Cline,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,2290,2021-11-04,"9196 Morgan Curve Suite 755
North Beverly, DE 91146",-1021
PO-1408,2021-08-22,Paula Alexander,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,2211,2021-11-13,"60566 Trevor Crescent Suite 080
Port Anna, AK 24725",-3232
PO-0175,2021-11-29,John Thomas,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,1266,2022-02-25,"502 Patrick Mount
North Tylerland, IL 20319",-4498
PO-0393,2022-02-23,Elizabeth Chung,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,1053,2022-04-04,"8708 Decker Prairie Suite 516
New Michaelmouth, NJ 82147",-5551
PO-0399,2022-04-01,Patrick Howell,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,2259,2022-04-08,"521 Jenna Groves
South Scott, LA 16105",-7810
PO-0681,2021-04-07,Karen Spence,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,1874,2022-05-02,"4904 Sarah Wells
Patrickton, CA 13938",-9684
PO-0805,2022-04-16,Micheal Scott,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,1843,2022-05-03,"6707 Andre Pass Suite 144
South Christina, AR 47507",-11527
PO-1028,2021-08-06,Briana Medina,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,1120,2022-05-20,"80868 Zachary Avenue Suite 083
Jasmineside, MT 81364",-12647
PO-0559,2021-10-22,Andrew Vaughn,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,2471,2022-05-23,"39240 Cunningham Trafficway Apt. 692
Hillbury, AR 39920",-15118
PO-0257,2022-03-11,Joseph Dickerson,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,2469,2022-05-27,"65659 Maxwell Green Suite 088
Port Zoe, OK 14490",-17587
PO-1092,2022-04-22,Lisa Munoz,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,1462,2022-06-17,"28062 Lynch Fort
West Bridgetmouth, HI 94352",-19049
PO-1478,2022-05-16,Shelia Stone,嵌入式模組,Silicon Labs,BGX13S22GA,150.15,2066,2022-06-28,"8126 Parker Prairie
Simschester, LA 06053",-21115
PO-0026,2022-04-28,Crystal Middleton,積體電路-IC,Boréas Technologies,BOS1901,249.9,2954,2022-05-09,"38831 Irwin Alley
New Elizabeth, CA 97730",-699
PO-1095,2021-12-19,Carol Watkins,積體電路-IC,Boréas Technologies,BOS1901,249.9,1703,2022-05-14,"871 Welch Fall
Lindseyport, GA 95629",-2402
PO-0696,2022-02-03,Jeffrey Smith,積體電路-IC,Boréas Technologies,BOS1901,249.9,2800,2022-06-10,"781 Rachel Harbor Apt. 157
Cooperstad, NH 79479",-5202
PO-0194,2022-02-23,Sarah Cruz,積體電路-IC,Boréas Technologies,BOS1901,249.9,1374,2022-06-11,"65952 Stanley Run
Lisaland, KS 46596",-6576
PO-1601,2022-02-19,Brian Zhang,嵌入式模組,ROHM,BSMXXXX series,264.6,2387,2022-03-29,"710 Sara Trail Apt. 328
Lake Thomas, OK 45318",-384
PO-0771,2021-09-05,Lisa Le,嵌入式模組,ROHM,BSMXXXX series,264.6,1204,2022-04-04,"PSC 4144, Box 2777
APO AP 80389",-1588
PO-1705,2021-06-07,Jose Ramirez,嵌入式模組,ROHM,BSMXXXX series,264.6,2540,2022-05-05,"60731 Zachary Street Suite 581
Port Stephanieport, AK 44995",-4128
PO-1745,2021-08-25,Mark Matthews,嵌入式模組,ROHM,BSMXXXX series,264.6,2241,2022-06-04,"8631 Douglas Locks Apt. 434
East David, AR 26080",-6369
PO-0125,2022-02-17,Alexandria Hood,嵌入式模組,ROHM,BSMXXXX series,264.6,2377,2022-06-08,"20546 Alexander Course Apt. 892
East Sherriside, AR 10630",-8746
PO-0387,2021-07-27,William Johnston,嵌入式模組,ROHM,BSMXXXX series,264.6,2523,2022-06-16,"2235 Penny Greens
Griffithview, AR 49769",-11269
PO-1521,2021-11-05,Amber Duncan,類比-IC,ROHM,BU18TD3WG,123.9,2774,2022-04-21,"PSC 5910, Box 0843
APO AA 60778",-2285
PO-1023,2022-01-19,Craig Robles,類比-IC,ROHM,BU18TD3WG,123.9,2558,2022-05-08,"49681 Rice Glens Apt. 043
West Juliantown, NC 35997",-4843
PO-0697,2022-04-16,Adam Wright,類比-IC,ROHM,BU18TD3WG,123.9,1617,2022-06-06,"863 Jones Village
Anthonyton, CT 34014",-6460
PO-0211,2022-05-19,Tyler Stephens,類比-IC,ROHM,BU18TD3WG,123.9,2919,2022-06-17,"3687 Callahan Road
Mendozatown, MA 25425",-9379
PO-1458,2021-04-13,Marcus Tran,類比-IC,ROHM,BUxxSA5WGWZ,97.65,2122,2021-12-27,"0166 Rita Cliffs Suite 898
Lake Randall, HI 87164",-844
PO-1399,2021-04-30,Brenda Hernandez,類比-IC,ROHM,BUxxSA5WGWZ,97.65,2408,2022-01-24,"Unit 3190 Box 3646
DPO AE 32634",-3252
PO-1275,2021-12-21,Sarah Jackson,類比-IC,ROHM,BUxxSA5WGWZ,97.65,1158,2022-04-02,"Unit 6698 Box 6398
DPO AP 14916",-4410
PO-0711,2022-04-21,Terri Fields,類比-IC,ROHM,BUxxSA5WGWZ,97.65,2708,2022-05-27,"PSC 7396, Box 4884
APO AE 91684",-7118
PO-1224,2022-05-03,Steven Walker,類比-IC,ROHM,BUxxSA5WGWZ,97.65,2482,2022-06-10,"92029 Rosario Plaza
Marcville, CA 69571",-9600
PO-0060,2021-09-21,William Klein,連接器,Credo,Bald Eagle Retimer,163.8,1873,2022-01-04,"PSC 6253, Box 1201
APO AP 22445",-603
PO-1312,2022-01-16,Dominique Schneider,連接器,Credo,Bald Eagle Retimer,163.8,2868,2022-01-21,"46937 Kathleen Light Apt. 732
Lake Christinetown, ME 73539",-3471
PO-1417,2021-10-18,Laura Soto,連接器,Credo,Bald Eagle Retimer,163.8,2430,2022-01-28,"2137 Park Terrace
Port Morgan, SD 38344",-5901
PO-1191,2022-02-22,Laurie Oconnell,連接器,Credo,Bald Eagle Retimer,163.8,1051,2022-03-02,"0534 Jones Views
East Kennethport, NJ 51452",-6952
PO-0452,2021-08-30,Cheryl Lopez,連接器,Credo,Bald Eagle Retimer,163.8,2985,2022-03-25,"18317 John Heights
New Brendaton, PA 13033",-9937
PO-1774,2022-01-09,Bobby Jackson,連接器,Credo,Bald Eagle Retimer,163.8,2958,2022-06-16,"3489 Crystal Canyon Apt. 597
South Abigail, MA 31075",-12895
PO-1764,2021-12-26,Robert Andrews,類比-IC,STMicroelectronics,BlueNRG-1,142.8,2592,2022-01-07,"7830 Kirk Island Apt. 549
South Lance, CA 31712",-709
PO-0526,2021-11-03,Shannon Phillips,類比-IC,STMicroelectronics,BlueNRG-1,142.8,2219,2022-03-05,"279 Kirby Overpass
Molinafort, WY 94282",-2928
PO-1337,2022-03-30,Kristin Jones,類比-IC,STMicroelectronics,BlueNRG-1,142.8,2808,2022-04-18,"294 Michael Brooks
Mccarthyshire, OR 39297",-5736
PO-0027,2022-01-28,Christopher Burke,類比-IC,STMicroelectronics,BlueNRG-1,142.8,1959,2022-04-19,"27942 Wood Route Apt. 311
West John, MT 71119",-7695
PO-1820,2021-11-22,Mark Wells,類比-IC,STMicroelectronics,BlueNRG-1,142.8,2706,2022-06-15,"080 Christopher Field Apt. 380
Lake Cindy, AZ 16823",-10401
PO-0508,2021-10-09,Dawn Mora,微型組件,Credo,CFD60801,171.15,1331,2021-10-15,"2112 Christopher Fall
West Jonathanfort, NM 17680",-690
PO-1022,2021-04-18,Scott Smith,微型組件,Credo,CFD60801,171.15,1094,2021-10-28,"5145 Rebecca Forks Suite 923
Katiechester, RI 66503",-1784
PO-1238,2021-07-25,Richard Lee,微型組件,Credo,CFD60801,171.15,1114,2021-11-01,"8225 Garcia Spring
Vegaville, MD 58114",-2898
PO-1770,2021-11-02,Whitney Perez,微型組件,Credo,CFD60801,171.15,2467,2022-04-11,"3744 Bell Glens Apt. 689
North Robertoview, VA 60684",-5365
PO-0271,2021-09-22,Kimberly Figueroa,微型組件,Credo,CFD60801,171.15,2627,2022-05-12,"017 Robinson Fields
Port Eric, ID 05121",-7992
PO-1467,2022-01-04,Levi Lynch,微型組件,Credo,CFD60801,171.15,2125,2022-06-27,"450 Yang Creek
Cortezfort, MN 09743",-10117
PO-1440,2022-02-10,Robert Larson,類比-IC,Celeno,CL8040,30.450000000000003,2342,2022-06-14,"42841 Raymond Junction Suite 526
West Barbaraton, KY 45443",-1604
PO-1679,2022-05-14,Jamie Jackson,類比-IC,Celeno,CL8046,74.55,1546,2022-06-12,"610 Gregory Lakes Apt. 029
Allenville, GA 41702",-573
PO-0071,2022-03-07,Edwin Williams,類比-IC,Celeno,CL8046,74.55,1331,2022-06-14,"721 Hess Terrace
Derekland, AZ 76729",-1904
PO-0309,2022-04-09,Denise Adams,類比-IC,Celeno,CL8046,74.55,1593,2022-06-20,"9570 Byrd Crest Suite 351
Patriciaberg, CA 06318",-3497
PO-0324,2021-09-10,Micheal Vargas,微型組件,Marvell,CNF95XX,142.8,2020,2021-10-07,"00187 Jones Pass
Port Natalieview, NE 53264",-1193
PO-0357,2021-09-30,Jonathan Nguyen,微型組件,Marvell,CNF95XX,142.8,2259,2021-11-14,"76527 David Views Apt. 315
Lake Katrinachester, WI 09817",-3452
PO-1398,2021-09-23,Douglas Meyer,微型組件,Marvell,CNF95XX,142.8,1165,2021-11-20,"1640 Tiffany Avenue
Lake Stephenborough, OK 41387",-4617
PO-1541,2021-12-23,Michelle Ponce,微型組件,Marvell,CNF95XX,142.8,1406,2021-12-24,"7180 Jacob Ports
Zacharyview, VT 51774",-6023
PO-0955,2021-08-25,William Frey,微型組件,Marvell,CNF95XX,142.8,1427,2022-01-05,"6842 Sally Junctions Suite 901
Booneburgh, ND 86383",-7450
PO-1003,2021-04-27,Beverly Green,微型組件,Marvell,CNF95XX,142.8,2375,2022-01-06,"0317 Brown Brooks Suite 386
Jamesview, AL 68980",-9825
PO-1214,2021-07-24,Susan Travis,微型組件,Marvell,CNF95XX,142.8,2151,2022-01-25,"3465 Haynes Parks
West Richard, WY 69688",-11976
PO-1366,2021-07-12,Daniel Frank,微型組件,Marvell,CNF95XX,142.8,1394,2022-04-03,"17959 Clay Knolls Suite 698
Stevenport, CA 49129",-13370
PO-0757,2022-03-31,Michael Richards,微型組件,Marvell,CNF95XX,142.8,2906,2022-04-20,"262 Little Drive Suite 337
North Justin, RI 56097",-16276
PO-1474,2022-03-26,Ryan Martin,微型組件,Marvell,CNF95XX,142.8,2704,2022-05-01,"645 Louis Islands Apt. 654
Brownfort, SC 27415",-18980
PO-1533,2022-03-22,John Jacobson,微型組件,Marvell,CNF95XX,142.8,1583,2022-05-20,"617 Joshua Estates Suite 112
North Ryanmouth, MT 95265",-20563
PO-1668,2022-04-10,Xavier Patton,微型組件,Marvell,CNF95XX,142.8,2667,2022-06-14,"2945 Ortiz Ferry
West Michaelaburgh, AZ 18658",-23230
PO-1756,2021-12-11,Dylan Cochran,微型組件,Marvell,CNF95XX,142.8,2377,2022-06-25,"2222 Gray Plains
Courtneyberg, NH 50539",-25607
PO-1183,2021-07-24,Kelsey Trevino,電池,GP,CR2025,99.75,2211,2021-12-26,"640 April Locks
Acostamouth, MA 25349",-188
PO-1650,2021-10-30,Stephen Weeks,電池,GP,CR2025,99.75,2188,2022-01-23,"72130 Brian Way Apt. 320
Parkerfort, IL 69732",-2376
PO-0490,2021-07-15,Christopher Mckee,電池,GP,CR2025,99.75,2648,2022-02-24,"7856 Peter Crossing
Katrinachester, MD 46080",-5024
PO-1933,2022-02-11,Jonathan Bradley,電池,GP,CR2025,99.75,2856,2022-02-26,"Unit 7988 Box 6270
DPO AE 74886",-7880
PO-0981,2022-03-14,Suzanne Ross,電池,GP,CR2025,99.75,1890,2022-03-27,"Unit 3117 Box 0446
DPO AP 14436",-9770
PO-0751,2021-08-03,Ronald Lynch,電池,GP,CR2025,99.75,1843,2022-04-02,"09625 Madeline Isle Suite 681
West Dennis, WV 95153",-11613
PO-0898,2022-02-22,Gregory Harris,電池,GP,CR2025,99.75,2210,2022-05-16,"PSC 1130, Box 1595
APO AE 43863",-13823
PO-1281,2022-04-21,Charles Nelson,電池,GP,CR2025,99.75,1789,2022-05-27,"95087 Taylor Stream
Lake Angela, IN 99227",-15612
PO-0207,2021-07-30,Michael Tran,電池,GP,CR2025,99.75,1999,2022-05-30,"21267 Nelson Mountains
East Stephaniemouth, ME 58751",-17611
PO-1556,2022-03-05,Keith Allen,微型組件,Synaptics,CX20924,211.05,2834,2022-03-20,"8041 Amy Heights
Chelseaside, CT 47809",-2135
